127.0.0.1 - - [29/Nov/2019:14:31:22 -0600] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:31:39 -0600] "GET /DronesCrashNBurn/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:31:44 -0600] "GET /DronesCrashNBurn/droneManagement HTTP/1.1" 200 2106
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:31:44 -0600] "GET /DronesCrashNBurn/resources/js/service/drone_service.js;jsessionid=196E6B4DE1CE6EDF708E1A9769F63AB9 HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:31:44 -0600] "GET /DronesCrashNBurn/resources/js/controller/drone_controller.js;jsessionid=196E6B4DE1CE6EDF708E1A9769F63AB9 HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:31:44 -0600] "GET /DronesCrashNBurn/resources/js/app.js;jsessionid=196E6B4DE1CE6EDF708E1A9769F63AB9 HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:31:44 -0600] "GET /DronesCrashNBurn/resources/css/app.css;jsessionid=196E6B4DE1CE6EDF708E1A9769F63AB9 HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:31:44 -0600] "GET /DronesCrashNBurn/drones HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:31:47 -0600] "GET /DronesCrashNBurn/droneAdd HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:31:59 -0600] "POST /DronesCrashNBurn/droneConfirmation HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:32:01 -0600] "GET /DronesCrashNBurn/droneManagement HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:32:01 -0600] "GET /DronesCrashNBurn/resources/js/service/drone_service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:32:01 -0600] "GET /DronesCrashNBurn/resources/js/controller/drone_controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:32:01 -0600] "GET /DronesCrashNBurn/drones HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:32:03 -0600] "DELETE /DronesCrashNBurn/drones/1 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:32:03 -0600] "GET /DronesCrashNBurn/drones HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:32:07 -0600] "GET /DronesCrashNBurn/droneAdd HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:32:17 -0600] "POST /DronesCrashNBurn/droneConfirmation HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:32:18 -0600] "GET /DronesCrashNBurn/droneManagement HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:32:18 -0600] "GET /DronesCrashNBurn/drones HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:32:21 -0600] "DELETE /DronesCrashNBurn/drones/4 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:32:21 -0600] "GET /DronesCrashNBurn/drones HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:34:23 -0600] "GET /DronesCrashNBurn/ HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [29/Nov/2019:14:34:23 -0600] "GET /favicon.ico HTTP/1.1" 404 1085
